,0,1,2,3
195,0.13331679,0.080101185,0.106570005,1.440402
196,0.1200657,0.07581924,0.09309787,1.4770954
197,0.12605263,0.07783851,0.09914854,1.437535
198,0.12366125,0.081264205,0.09321069,1.2776792
199,0.122456595,0.07798125,0.09441686,1.5342414
200,0.13137361,0.08054106,0.10378903,1.4396255
201,0.16023327,0.10456246,0.121414155,1.4215257
202,0.13758239,0.08721578,0.1064064,1.1895599
203,0.12881885,0.07627655,0.10380842,1.5770929
204,0.13831797,0.09009578,0.10495051,1.3790166
205,0.14574385,0.094842315,0.110662565,1.4412091
206,0.12529749,0.076859355,0.09895504,1.4807222
207,0.12245024,0.07844209,0.09402606,1.3282192
208,0.13898511,0.09221554,0.10398634,1.4491346
209,0.122676104,0.07834973,0.09439675,1.3968558
210,0.13032283,0.08010322,0.10279841,1.5263625
211,0.12495293,0.07599428,0.09918721,1.4773474
212,0.125895,0.07472361,0.10132093,1.5069373
213,0.13494922,0.07877427,0.109571464,1.4537883
214,0.14176841,0.08860053,0.11067172,1.5417552
215,0.11971706,0.075407244,0.092983454,1.4728928
216,0.13552834,0.08027394,0.10919719,1.4909747
217,0.12192123,0.07357322,0.0972202,1.317234
218,0.1376145,0.08863394,0.10527003,1.386678
219,0.13386892,0.08000163,0.10733419,1.4440323
220,0.13626932,0.08771921,0.10428168,1.3737034
221,0.13054195,0.08042571,0.10282463,1.452141
222,0.124761425,0.07679254,0.098327614,1.3044615
223,0.12503989,0.07612615,0.09919567,1.5009453
224,0.13370363,0.085804835,0.102538735,1.3642931
225,0.13868527,0.08824128,0.10699102,1.2602187
226,0.1422341,0.093756415,0.10695922,1.3470612
227,0.13831477,0.07884386,0.11364252,1.5269322
228,0.117192864,0.07254467,0.09204041,1.429549
229,0.13136114,0.078951806,0.10498744,1.4042654
230,0.12081927,0.07500221,0.09472046,1.4548999
231,0.13611233,0.09229227,0.100043505,1.2314965
232,0.12588237,0.0778402,0.098930664,1.280619
233,0.11576391,0.06862747,0.0932285,1.4306011
234,0.118648954,0.07334973,0.093259804,1.3489816
235,0.11753234,0.07424374,0.09111377,1.273751
236,0.12572512,0.074928075,0.10095835,1.3412805
237,0.11615156,0.07301114,0.0903358,1.4673734
238,0.13009652,0.07840254,0.103817865,1.3170199
239,0.13448623,0.080261484,0.10791034,1.3643816
240,0.12896438,0.07354944,0.10593532,1.4577839
241,0.11377597,0.0680561,0.09117751,1.3435689
242,0.14184014,0.086836316,0.11215204,1.4110596
243,0.12167449,0.07517754,0.095671415,1.3418733
244,0.14585435,0.09392121,0.11158987,1.5694268
245,0.1324194,0.08116764,0.104626544,1.3494349
246,0.13342653,0.07966244,0.107035205,1.4624033
247,0.13583037,0.08007931,0.10971416,1.5150526
248,0.11745711,0.07213912,0.09269368,1.5092295
249,0.12540036,0.07584607,0.09986303,1.4565492
250,0.1221051,0.07656803,0.09511568,1.3031484
251,0.13644953,0.086111605,0.10584548,1.5145617
252,0.133125,0.08376331,0.10346969,1.5471991
253,0.12360236,0.074671395,0.098497346,1.5367186
254,0.11724839,0.075319976,0.089855924,1.5010929
255,0.13370708,0.08011836,0.107044995,1.5915848
256,0.116698645,0.07429245,0.089995585,1.3567048
257,0.13905643,0.08749988,0.10807618,1.4786214
258,0.14103897,0.089042366,0.109377556,1.4882538
259,0.12037649,0.07301601,0.09570351,1.4907985
260,0.11080774,0.067192756,0.08811066,1.3926975
261,0.14957727,0.09534045,0.11525432,1.5007286
262,0.14790055,0.094649635,0.113648675,1.5133698
263,0.113890216,0.073454514,0.08703686,1.4651846
264,0.14546217,0.09172603,0.112896316,1.3443513
265,0.124193974,0.0773831,0.09713907,1.4669999
266,0.11082232,0.066767335,0.088451736,1.233973
267,0.13998234,0.08821603,0.10868757,1.4406716
268,0.13501625,0.08646048,0.10370136,1.3269668
269,0.12784857,0.078176096,0.10116201,1.5814654
270,0.119257025,0.07127652,0.09561326,1.2692702
271,0.13905554,0.08432696,0.11056855,1.4611809
272,0.120024376,0.077165596,0.091931075,1.2297904
273,0.1352603,0.08215217,0.107454024,1.3135532
274,0.10664515,0.06485302,0.084659755,1.39037
275,0.1177635,0.07064436,0.0942211,1.4321151
276,0.14215548,0.09792235,0.10305045,1.531595
277,0.12517917,0.07361071,0.101248644,1.4547814
278,0.12971258,0.08009996,0.102026224,1.3875966
279,0.13927156,0.09214743,0.10442901,1.5118624
280,0.14703593,0.0953408,0.11193613,1.2705301
281,0.13117146,0.07481261,0.10774519,1.3648511
282,0.112668835,0.06953648,0.08865069,1.4079593
283,0.12890372,0.07528114,0.10463708,1.489377
284,0.13488458,0.08085975,0.10796087,1.5192053
285,0.13283421,0.078896284,0.10686583,1.4597964
286,0.117128804,0.07197715,0.09240371,1.3956218
287,0.12112298,0.072614245,0.09694301,1.3229887
288,0.1212613,0.07076782,0.09846938,1.5255027
289,0.12909262,0.082409635,0.09936577,1.4502531
290,0.12192778,0.076290034,0.09511159,1.5825391
291,0.1149429,0.068069674,0.0926196,1.4840341
292,0.1174028,0.07366443,0.09141646,1.4612342
293,0.12786718,0.078464374,0.10096216,1.492362
294,0.11986233,0.07223378,0.09565176,1.2680998
295,0.15280254,0.09509759,0.11960378,1.550661
296,0.13024442,0.08214999,0.10106923,1.3223062
297,0.13500841,0.08452616,0.105273925,1.3916786
298,0.11550031,0.06838399,0.09308034,1.2908049
299,0.12609841,0.0799765,0.097491376,1.4360445
300,0.14428076,0.090988554,0.1119733,1.4893569
301,0.1281966,0.08241829,0.098191604,1.4440444
302,0.14973629,0.082473785,0.12497611,1.5182097
303,0.12261606,0.07582582,0.09635945,1.4085306
304,0.13432702,0.08500575,0.10400852,1.4538926
305,0.12820001,0.07714927,0.10238766,1.3515828
306,0.12249182,0.069577545,0.100812756,1.5176742
307,0.11677832,0.06855575,0.09453721,1.2985173
308,0.12023503,0.07210152,0.09621765,1.5046244
309,0.11801326,0.06932731,0.09550316,1.5309896
310,0.14799303,0.09466683,0.11375468,1.3862603
311,0.11792641,0.07776235,0.0886547,1.4558139
312,0.13048282,0.08135951,0.10201175,1.6064712
313,0.13340631,0.07866843,0.107742846,1.455925
314,0.13599132,0.08842974,0.10331417,1.6713343
315,0.11796135,0.06801925,0.09637562,1.51453
316,0.13511282,0.089136094,0.10153932,1.4807329
317,0.13934755,0.085131764,0.1103192,1.527301
318,0.13913503,0.09357289,0.102969274,1.4759116
319,0.118864805,0.07163624,0.094853,1.330626
